the KA Global Club Rating 4Q 2025;;;;;;;;
;Club;Country;Conf/Fed Continent;Class;;Coef;+/- Place;
151;Coventry City FC;ENG;UEFA;Advanced Athletic;★;0,800;+151;
152;Nashville SC;USA;CONCACAF;Advanced Athletic;★;0,799;+82;
153;FC Augsburg;GER;UEFA;Advanced Athletic;★;0,798;-23;
154;Rangers FC;SCO;UEFA;Advanced Athletic;★;0,797;-2;
155;Corinthians;BRA;CONMEBOL;Advanced Athletic;★;0,796;+6;
156;Middlesbrough FC;ENG;UEFA;Advanced Athletic;★;0,792;+183;
157;Peñarol;URU;CONMEBOL;Advanced Athletic;★;0,789;-8;
158;Independiente del Valle;ECU;CONMEBOL;Advanced Athletic;★;0,789;+14;
159;Hamburger SV;GER;UEFA;Advanced Athletic;★;0,788;+40;
160;FC St. Pauli;GER;UEFA;Advanced Athletic;★;0,786;-15;
161;Cerro Porteño;PAR;CONMEBOL;Advanced Athletic;★;0,783;+9;
162;FC Lorient;FRA;UEFA;Advanced Athletic;★;0,783;+33;
163;Real Oviedo;ESP;UEFA;Advanced Athletic;★;0,782;+18;
164;Alajuelense;CRC;CONCACAF;Advanced Athletic;★;0,781;+63;
165;Ferencvárosi TC;HUN;UEFA;Advanced Athletic;★;0,780;+48;
166;Le Havre AC;FRA;UEFA;Advanced Athletic;★;0,779;-8;
167;Bodø/Glimt;NOR;UEFA;Advanced Athletic;★;0,777;+16;
168;Jeonbuk Hyundai Motors;KOR;AFC;Advanced Athletic;★;0,777;-14;
169;Go Ahead Eagles;NED;UEFA;Advanced Athletic;★;0,777;-38;
170;Heidenheim 1846;GER;UEFA;Advanced Athletic;★;0,775;-13;
171;Guadalajara;MEX;CONCACAF;Advanced Athletic;★;0,773;+26;
172;RB Salzburg;AUT;UEFA;Advanced Athletic;★;0,772;-10;
173;Levante UD;ESP;UEFA;Advanced Athletic;★;0,772;-4;
174;KRC Genk;BEL;UEFA;Advanced Athletic;★;0,771;-60;
175;CF Pachuca;MEX;CONCACAF;Advanced Athletic;★;0,771;-59;
176;Mainz 05;GER;UEFA;Advanced Athletic;★;0,771;-92;
177;FC Utrecht;NED;UEFA;Advanced Athletic;★;0,771;-71;
178;New York City FC;USA;CONCACAF;Advanced Athletic;★;0,771;-77;
179;Santa Clara;POR;UEFA;Advanced Athletic;★;0,771;-79;
180;Cruzeiro;BRA;CONMEBOL;Qualified Athletic;☆;0,770;-3;
181;Al-Ittihad;KSA;AFC;Qualified Athletic;☆;0,768;-28;
